"","roomType","city","long","lat","price"
"161","Entire home/apt","Boston",-71.126585,42.349104,129
"162","Entire home/apt","Boston",-71.135101,42.345773,130
"163","Entire home/apt","Boston",-71.130914,42.358118,130
"164","Entire home/apt","Boston",-71.149773,42.340139,135
"165","Entire home/apt","Boston",-71.130857,42.353223,135
"166","Entire home/apt","Boston",-71.156356,42.349413,135
"167","Entire home/apt","Boston",-71.138859,42.35016,138
"168","Entire home/apt","Boston",-71.156963,42.348399,140
"169","Entire home/apt","Boston",-71.148512,42.341713,140
"170","Entire home/apt","Boston",-71.128226,42.3585,140
"171","Entire home/apt","Boston",-71.118469,42.363692,140
"172","Entire home/apt","Boston",-71.144822,42.344723,149
"173","Entire home/apt","Boston",-71.119637,42.365092,149
"174","Private room","Boston",-71.126384,42.359177,149
"175","Entire home/apt","Boston",-71.137387,42.347355,150
"176","Entire home/apt","Boston",-71.131604,42.360315,150
"177","Entire home/apt","Boston",-71.136689,42.344674,150
"178","Entire home/apt","Boston",-71.145367,42.340384,150
"179","Entire home/apt","Boston",-71.14318,42.359635,150
"180","Private room","Boston",-71.125628,42.352487,150
"181","Entire home/apt","Boston",-71.147771,42.337996,150
"182","Entire home/apt","Boston",-71.146918,42.339393,150
"183","Entire home/apt","Boston",-71.147629,42.336143,160
"184","Private room","Boston",-71.139778,42.343726,160
"185","Entire home/apt","Boston",-71.131086,42.356938,165
"186","Entire home/apt","Boston",-71.154518,42.340156,165
"187","Entire home/apt","Boston",-71.117932,42.36338,165
"188","Entire home/apt","Boston",-71.151578,42.33851,175
"189","Entire home/apt","Boston",-71.126071,42.35876,175
"190","Entire home/apt","Boston",-71.13156,42.359372,175
"191","Private room","Boston",-71.127182,42.360189,178
"192","Entire home/apt","Boston",-71.133466,42.351589,180
"193","Entire home/apt","Boston",-71.126466,42.350037,180
"194","Entire home/apt","Boston",-71.129354,42.359355,189
"195","Shared room","Boston",-71.143627,42.343328,199
"196","Entire home/apt","Boston",-71.137339,42.34684,200
"197","Entire home/apt","Boston",-71.16882,42.352725,200
"198","Entire home/apt","Boston",-71.142562,42.341129,200
"199","Entire home/apt","Boston",-71.158454,42.357583,200
"200","Private room","Boston",-71.151433,42.337229,200
"201","Entire home/apt","Boston",-71.126248,42.352662,220
"202","Entire home/apt","Boston",-71.118805,42.365291,225
"203","Entire home/apt","Boston",-71.118546,42.364894,225
"204","Entire home/apt","Boston",-71.128222,42.357322,249
"205","Entire home/apt","Boston",-71.156425,42.349415,250
"206","Entire home/apt","Boston",-71.166775,42.344895,250
"207","Entire home/apt","Boston",-71.159597,42.339251,250
"208","Entire home/apt","Boston",-71.163227,42.347485,250
"209","Entire home/apt","Boston",-71.159493,42.354574,265
"210","Entire home/apt","Boston",-71.135599,42.347846,269
"211","Entire home/apt","Boston",-71.135659,42.348222,275
"212","Entire home/apt","Boston",-71.125481,42.354376,290
"213","Entire home/apt","Boston",-71.132628,42.354039,318
"214","Entire home/apt","Boston",-71.129245,42.361831,350
"215","Entire home/apt","Boston",-71.170293,42.355565,363
"216","Entire home/apt","Boston",-71.140479,42.34546,365
"217","Entire home/apt","Boston",-71.165255,42.354178,400
"218","Entire home/apt","Boston",-71.155397,42.347714,400
"219","Entire home/apt","Boston",-71.129369,42.357683,550
"220","Entire home/apt","Boston",-71.128695,42.357695,550
"221","Private room","Brighton",-71.148664,42.342664,55
"222","Private room","Brighton",-71.164513,42.34985,65
"223","Private room","Brighton",-71.156692,42.342226,70
"224","Private room","Brighton",-71.148505,42.340955,75
"225","Private room","Brighton",-71.167947,42.35384,99
"226","Private room","Brighton",-71.169683,42.353769,99
"227","Private room","Brighton",-71.158693,42.347338,100
"228","Private room","Brighton",-71.150565,42.352573,105
"229","Private room","Brighton",-71.158643,42.347772,130
"230","Entire home/apt","Brighton",-71.149176,42.341519,170
"231","Private room","Brookline",-71.158015,42.331812,200
"232","Private room","Brookline",-71.151095,42.336606,710
"233","Private room","Newton",-71.160005,42.333315,200
"234","Private room","Boston",-71.09265,42.328213,66
"235","Entire home/apt","Cambridge",-71.133255,42.381159,334
"236","Private room","Everett",-71.061367,42.406327,69
"237","Entire home/apt","Boston",-71.070564,42.350308,267
"238","Entire home/apt","Boston",-71.051239,42.363652,425
"239","Private room","Cambridge",-71.103248,42.363838,95
"240","Private room","Boston",-71.085887,42.344718,50
"241","Entire home/apt","Boston",-71.090927,42.34923,60
"242","Private room","Boston",-71.088252,42.35145,65
"243","Private room","Boston",-71.08746,42.351634,69
"244","Private room","Boston",-71.081161,42.344019,70
"245","Private room","Boston",-71.089066,42.351841,75
"246","Private room","Boston",-71.08917,42.351743,75
"247","Private room","Boston",-71.076027,42.352612,75
"248","Private room","Boston",-71.088632,42.349435,80
"249","Entire home/apt","Boston",-71.081576,42.353357,97
"250","Entire home/apt","Boston",-71.078894,42.355293,99
"251","Entire home/apt","Boston",-71.081233,42.344977,100
"252","Private room","Boston",-71.081949,42.343569,105
"253","Private room","Boston",-71.084744,42.345099,118
"254","Entire home/apt","Boston",-71.081936,42.352727,119
"255","Private room","Boston",-71.089171,42.347701,119
"256","Entire home/apt","Boston",-71.092237,42.351099,120
"257","Entire home/apt","Boston",-71.087088,42.344302,120
"258","Private room","Boston",-71.069078,42.348185,120
"259","Shared room","Boston",-71.091927,42.349563,125
"260","Entire home/apt","Boston",-71.083704,42.350114,125
"261","Shared room","Boston",-71.079773,42.352024,130
"262","Entire home/apt","Boston",-71.068991,42.349251,135
"263","Entire home/apt","Boston",-71.068548,42.347901,135
"264","Private room","Boston",-71.083928,42.34744,135
"265","Private room","Boston",-71.071088,42.348138,135
"266","Entire home/apt","Boston",-71.077811,42.354062,137
"267","Entire home/apt","Boston",-71.082567,42.352273,139
"268","Entire home/apt","Boston",-71.079535,42.355305,140
"269","Entire home/apt","Boston",-71.088659,42.352091,144
"270","Entire home/apt","Boston",-71.079841,42.351354,144
"271","Entire home/apt","Boston",-71.078985,42.352919,145
"272","Entire home/apt","Boston",-71.072011,42.35213,145
"273","Entire home/apt","Boston",-71.088342,42.34964,145
"274","Entire home/apt","Boston",-71.089766,42.350273,147
"275","Entire home/apt","Boston",-71.074388,42.35143,149
"276","Private room","Boston",-71.07247,42.347071,149
"277","Private room","Boston",-71.089045,42.35146,149
"278","Entire home/apt","Boston",-71.08894,42.350464,150
"279","Entire home/apt","Boston",-71.068882,42.348926,150
"280","Entire home/apt","Boston",-71.069607,42.347975,150
"281","Private room","Boston",-71.080356,42.343758,150
"282","Private room","Boston",-71.087981,42.349874,150
"283","Entire home/apt","Boston",-71.081971,42.350472,150
"284","Entire home/apt","Boston",-71.082851,42.350307,150
"285","Private room","Boston",-71.077983,42.351302,159
