Key,X,radius,yaxis,Y,room_id,host_id,room_type,type_num,country,city,neighborhood,address,reviews,overall_sa,accommodat,bedrooms,bathrooms,price,price2,deleted,minstay,timestamp,latitude,longitude,survey_i,town_id,town,subregion,COUNT
2776,-71.134724,3,353.5016558,42.346483,5819773,26710746,Private room,2,United States,Boston,Allston-Brighton,Brainerd Road,1,0,1,1,1,52,104,0,1,47:53.4,42.346483,-71.134724,1,35,Boston,INNER CORE,1
3219,-71.127635,3,351.7118384,42.353622,6977049,19073733,Private room,2,United States,Boston,Allston-Brighton,Chester Street,0,0,2,1,0.5,52,104,0,1,28:14.7,42.353622,-71.127635,1,35,Boston,INNER CORE,1
1725,-71.128911,3,351.9672983,42.354054,6661480,25093280,Private room,2,United States,Boston,Allston-Brighton,Chester Street,6,4,2,1,1,55,110,0,1,40:06.0,42.354054,-71.128911,1,35,Boston,INNER CORE,1
2481,-71.136074,3,353.6017564,42.347416,6224836,31680074,Private room,2,United States,Boston,Allston-Brighton,Scottfield Road,2,0,1,1,1,55,110,0,1,20:55.4,42.347416,-71.136074,1,35,Boston,INNER CORE,1
3218,-71.135712,3,354.1827233,42.348773,3860211,19917804,Private room,2,United States,Boston,Allston-Brighton,Scottfield Road,0,0,1,1,1,55,110,0,15,11:50.2,42.348773,-71.135712,1,35,Boston,INNER CORE,1
3210,-71.137018,3,352.8905745,42.35502,5871900,30489899,Private room,2,United States,Boston,Allston-Brighton,Blaine Street,0,0,1,1,1.5,57,114,0,14,38:54.0,42.35502,-71.137018,1,35,Boston,INNER CORE,1
2599,-71.156877,3,353.1553139,42.35746,6066713,2092815,Entire home/apt,1,United States,Boston,Allston-Brighton,Brooksdale Road,2,4,4,4,2,59,118,0,2,20:34.5,42.35746,-71.156877,2,35,Boston,INNER CORE,1
2296,-71.158306,3,354.8219076,42.356409,6050928,2092815,Private room,2,United States,Boston,Allston-Brighton,Brooksdale Road,3,4.5,2,1,2,59,118,0,1,12:47.3,42.356409,-71.158306,2,35,Boston,INNER CORE,1
2473,-71.158773,3,354.0350782,42.357461,6064615,2092815,Private room,2,United States,Boston,Allston-Brighton,Brooksdale Road,2,5,4,1,2,59,118,0,2,29:10.0,42.357461,-71.158773,1,35,Boston,INNER CORE,1
3590,-71.158775,3,354.2816293,42.355703,6066786,2092815,Entire home/apt,1,United States,Boston,Allston-Brighton,Brooksdale Road,0,0,4,4,2,59,118,0,2,37:21.1,42.355703,-71.158775,2,35,Boston,INNER CORE,1
1416,-71.134242,3,351.0075884,42.347675,4025791,19819857,Private room,2,United States,Boston,Allston-Brighton,Griggs Street,9,4,2,1,1.5,60,120,0,1,19:02.0,42.347675,-71.134242,1,35,Boston,INNER CORE,1
545,-71.125614,3,351.8520887,42.35011,5085125,5235073,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Ave,31,4.5,2,1,1,60,120,0,1,05:25.1,42.35011,-71.125614,1,46,Brookline,INNER CORE,1
1047,-71.143522,3,353.4951941,42.350217,4294835,9189449,Private room,2,United States,Boston,Allston-Brighton,Ridgemont Street,15,4.5,2,1,2,60,120,0,1,25:32.8,42.350217,-71.143522,1,35,Boston,INNER CORE,1
1092,-71.144211,3,353.3023183,42.351593,3412990,9189449,Private room,2,United States,Boston,Allston-Brighton,Ridgemont Street,14,4.5,2,1,2,60,120,0,1,27:12.2,42.351593,-71.144211,1,35,Boston,INNER CORE,1
2777,-71.137151,3,351.4218218,42.352445,6476613,33835566,Private room,2,United States,Boston,Allston-Brighton,Islington Street,1,5,2,1,0,60,120,0,1,36:36.2,42.352445,-71.137151,1,35,Boston,INNER CORE,1
3586,-71.118784,3,351.608338,42.364499,6363484,33154796,Entire home/apt,1,United States,Boston,Allston-Brighton,Harvard University,0,0,1,1,1,60,120,0,10,29:42.3,42.364499,-71.118784,2,35,Boston,INNER CORE,1
3228,-71.130488,3,351.2672601,42.353808,4604023,1730791,Private room,2,United States,Boston,Allston-Brighton,Brighton Ave,0,0,1,1,1,60,120,0,1,34:25.7,42.353808,-71.130488,1,35,Boston,INNER CORE,1
102,-71.130578,3,354.5954489,42.356861,72811,378555,Private room,2,United States,Boston,Allston-Brighton,Royal St,103,4.5,2,1,0,62,124,0,2,31:32.9,42.356861,-71.130578,2,35,Boston,INNER CORE,1
2775,-71.129637,3,353.0730111,42.354526,6520481,33854248,Private room,2,United States,Boston,Allston-Brighton,Gardner Street,1,0,1,1,1,62,124,0,1,58:19.6,42.354526,-71.129637,1,35,Boston,INNER CORE,1
2034,-71.132208,3,350.9692771,42.354619,6216194,32239229,Private room,2,United States,Boston,Allston-Brighton,Harvard Avenue,4,3,2,1,1,65,130,0,1,03:41.0,42.354619,-71.132208,1,35,Boston,INNER CORE,1
1151,-71.142355,3,353.8260878,42.353398,3420221,9189449,Private room,2,United States,Boston,Allston-Brighton,Ridgemont Street,13,4,2,1,2,65,130,0,1,19:51.6,42.353398,-71.142355,1,35,Boston,INNER CORE,1
2766,-71.127706,3,351.2604915,42.352113,6716295,25093280,Private room,2,United States,Boston,Allston-Brighton,Chester Street,1,4,4,1,1,65,130,0,1,25:01.2,42.352113,-71.127706,1,35,Boston,INNER CORE,1
2226,-71.156488,3,354.0411524,42.346077,4294908,22293299,Private room,2,United States,Boston,Allston-Brighton,Platt Road,3,4.5,2,1,1,65,130,0,1,45:12.5,42.346077,-71.156488,1,35,Boston,INNER CORE,1
2309,-71.16348,3,352.5772779,42.349161,4670285,24158689,Private room,2,United States,Boston,Allston-Brighton,Oak Square Avenue,3,4.5,2,1,1,65,130,0,2,29:53.0,42.349161,-71.16348,2,35,Boston,INNER CORE,1
2596,-71.126781,3,353.6451064,42.350335,6604113,29468488,Entire home/apt,1,United States,Boston,Allston-Brighton,Commonwealth Avenue,2,5,2,0,1,65,130,0,1,11:04.2,42.350335,-71.126781,2,35,Boston,INNER CORE,1
2224,-71.149439,3,350.3221196,42.341507,6384966,1904707,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,3,5,2,1,1,65,130,0,1,17:49.3,42.341507,-71.149439,1,35,Boston,INNER CORE,1
2773,-71.125216,3,354.9380198,42.35224,6245632,32427243,Private room,2,United States,Boston,Allston-Brighton,Gardner Street,1,0,2,1,1,65,130,0,1,01:08.2,42.35224,-71.125216,1,35,Boston,INNER CORE,1
